-180,0,0
-165,0.6,0.1206
-150,1.03923,0.45
-135,1.2,0.9
-120,1.03923,1.35
-105,0.6,1.6794
-90,0,1.8
-75,-0.6,1.6794
-60,-1.03923,1.35
-45,-1.2,0.9
-30,-1.03923,0.45
-25,-0.91925,0.3215
-20,-0.9,0.2106
-15,-1.64493,0.1206
-10,-1.069778481,0.01012
-9,-0.987974684,0.00914
-8,-0.878322785,0.00828
-7,-0.770411392,0.00755
-6,-0.660759494,0.00695
-5,-0.545886076,0.00642
-4,-0.437974684,0.006
-3,-0.328322785,0.00561
-2,-0.222151899,0.00532
-1,-0.110759494,0.00514
0,-0.001107595,0.00508
1,0.105063291,0.00513
2,0.21471519,0.00532
3,0.324367089,0.00561
4,0.434018987,0.00599
5,0.538449367,0.00642
6,0.646360759,0.00695
7,0.756012658,0.00755
8,0.86914557,0.00828
9,0.978797468,0.00914
10,1.062341772,0.01012
11,1.147626582,0.01116
12,1.205063291,0.01225
13,1.215506329,0.01358
14,1.163291139,0.01506
15,1.053639241,0.01696
16,0.926582278,0.01885
17,0.789082278,0.02155
18,0.721202532,0.02611
19,0.709018987,0.0337
20,0.724683544,0.045
22,0.9,0.141
24,0.9,0.217
26,0.94561,0.3014
28,0.99485,0.3781
30,1.03923,0.45
35,1.12763,0.5922
40,1.18177,0.7437
50,1.18177,1.0563
60,1.03923,1.35
75,0.6,1.6794
90,0,1.8
105,-0.6,1.6794
120,-1.03923,1.35
135,-1.2,0.9
150,-1.03923,0.45
165,-0.6,0.1206
180,0,0
